"","counts","type","freq"
"ETANERCEPT",16884,"Drug",0.0544970385552669
"ASPIRIN",15186,"Drug",0.04901634846602
"DENOSUMAB",12204,"Drug",0.0393912496167067
"CHOLECALCIFEROL",9061,"Drug",0.0292464858060455
"ACETAMINOPHEN",8835,"Drug",0.028517018220551
"METFORMIN HYDROCHLORIDE",8031,"Drug",0.0259219211464906
"FUROSEMIDE",7913,"Drug",0.0255410486903475
"PREDNISONE",7749,"Drug",0.025011700530962
"AMLODIPINE BESYLATE",7670,"Drug",0.0247567096493068
"RIVAROXABAN",7377,"Drug",0.0238109839743072
"LENALIDOMIDE",7318,"Drug",0.0236205477462357
"ADALIMUMAB",7194,"Drug",0.0232203088940174
"GABAPENTIN",7032,"Drug",0.0226974161999903
"OMEPRAZOLE",6965,"Drug",0.0224811581104853
"LISINOPRIL",6245,"Drug",0.020157190581476
"PREGABALIN",6079,"Drug",0.0196213869567322
"METHOTREXATE",5782,"Drug",0.0186627503510159
"SODIUM OXYBATE",5758,"Drug",0.0185852847667156
"LEVOTHYROXINE SODIUM",5687,"Drug",0.0183561157464939
"PANTOPRAZOLE SODIUM",5591,"Drug",0.0180462534092926
"DEXAMETHASONE",5425,"Drug",0.0175104497845488
"IBUPROFEN",5270,"Drug",0.017010151219276
"ALBUTEROL SULFATE",5187,"Drug",0.0167422494069041
"SIMVASTATIN",5097,"Drug",0.016451753465778
"LEVOTHYROXINE",4851,"Drug",0.0156577312266998
"ATORVASTATIN",4708,"Drug",0.0151961654535771
"ATORVASTATIN CALCIUM",4648,"Drug",0.0150025014928264
"RISPERIDONE",4648,"Drug",0.0150025014928264
"VITAMINS",4596,"Drug",0.014834659393509
"FOLIC ACID",4594,"Drug",0.0148282039281507
"ALPRAZOLAM",4170,"Drug",0.0134596452721786
"APREMILAST",4071,"Drug",0.0131400997369398
"CLOPIDOGREL BISULFATE",4010,"Drug",0.0129432080435098
"APIXABAN",3900,"Drug",0.0125881574488001
"METOPROLOL",3726,"Drug",0.0120265319626229
"CALCIUM CHLORIDE\DEXTROSE\MAGNESIUM CHLORIDE\SODIUM CHLORIDE\SODIUM LACTATE",3672,"Drug",0.0118522343979472
"SERTRALINE HYDROCHLORIDE",3619,"Drug",0.0116811645659506
"CLONAZEPAM",3540,"Drug",0.0114261736842955
"INSULIN GLARGINE",3478,"Drug",0.0112260542581863
"LORAZEPAM",3438,"Drug",0.0110969449510192
"FLUTICASONE PROPIONATE\SALMETEROL XINAFOATE",3391,"Drug",0.0109452415150977
"TOFACITINIB CITRATE",3385,"Drug",0.0109258751190226
"CYANOCOBALAMIN",3314,"Drug",0.0106967060988009
"DULOXETINE HYDROCHLORIDE",3227,"Drug",0.0104158933557123
"HYDROCHLOROTHIAZIDE",3191,"Drug",0.0102996949792618
"LEVONORGESTREL",3179,"Drug",0.0102609621871117
"FENTANYL",3171,"Drug",0.0102351403256782
"DIMETHYL FUMARATE",3109,"Drug",0.0100350208995691
"ESOMEPRAZOLE MAGNESIUM",3008,"Drug",0.00970901989897197
"CARVEDILOL",2988,"Drug",0.00964446524538838
"ACETAMINOPHEN\HYDROCODONE BITARTRATE",2986,"Drug",0.00963800978003002
"LANSOPRAZOLE",2986,"Drug",0.00963800978003002
"ALLOPURINOL",2949,"Drug",0.00951858367090038
"FINGOLIMOD HYDROCHLORIDE",2888,"Drug",0.00932169197747043
"CITALOPRAM HYDROBROMIDE",2886,"Drug",0.00931523651211207
"TIOTROPIUM BROMIDE MONOHYDRATE",2876,"Drug",0.00928295918532027
"CETIRIZINE HYDROCHLORIDE",2816,"Drug",0.0090892952245695
"CALCIUM",2800,"Drug",0.00903765150170263
"INFLIXIMAB",2799,"Drug",0.00903442376902345
"PREDNISOLONE",2785,"Drug",0.00898923551151494
"SULFAMETHOXAZOLE\TRIMETHOPRIM",2785,"Drug",0.00898923551151494
"ALBUTEROL",2763,"Drug",0.00891822539257299
"NIVOLUMAB",2731,"Drug",0.00881493794683924
"SPIRONOLACTONE",2724,"Drug",0.00879234381808499
"VENLAFAXINE HYDROCHLORIDE",2706,"Drug",0.00873424462985976
"POTASSIUM CHLORIDE",2683,"Drug",0.00866000677823863
"MONTELUKAST SODIUM",2679,"Drug",0.00864709584752191
"ESCITALOPRAM OXALATE",2648,"Drug",0.00854703613446734
"FLUTICASONE PROPIONATE",2642,"Drug",0.00852766973839227
"POLYETHYLENE GLYCOL 3350",2598,"Drug",0.00838564950050837
"TERIFLUNOMIDE",2594,"Drug",0.00837273856979165
"RITUXIMAB",2577,"Drug",0.0083178671142456
"CYCLOPHOSPHAMIDE",2572,"Drug",0.0083017284508497
"TRAMADOL",2506,"Drug",0.00808869809402385
"LOSARTAN",2504,"Drug",0.00808224262866549
"ROSUVASTATIN CALCIUM",2487,"Drug",0.00802737117311944
"WARFARIN",2460,"Drug",0.00794022239078159
"OXYCODONE HYDROCHLORIDE",2413,"Drug",0.00778851895486016
"ATENOLOL",2388,"Drug",0.00770782563788067
"FLUOXETINE HYDROCHLORIDE",2369,"Drug",0.00764649871697626
"ACYCLOVIR",2367,"Drug",0.0076400432516179
"TRAZODONE HYDROCHLORIDE",2350,"Drug",0.00758517179607185
"INTERFERON BETA-1A",2347,"Drug",0.00757548859803431
"WARFARIN SODIUM",2331,"Drug",0.00752384487516744
"DIAZEPAM",2290,"Drug",0.00739150783532108
"NATALIZUMAB",2283,"Drug",0.00736891370656682
"SECUKINUMAB",2276,"Drug",0.00734631957781257
"ABATACEPT",2267,"Drug",0.00731726998369995
"AMBRISENTAN",2243,"Drug",0.00723980439939964
"INSULIN LISPRO",2243,"Drug",0.00723980439939964
"METHOTREXATE SODIUM",2234,"Drug",0.00721075480528703
"ONDANSETRON HYDROCHLORIDE",2234,"Drug",0.00721075480528703
"INSULIN ASPART",2233,"Drug",0.00720752707260785
"RAMIPRIL",2214,"Drug",0.00714620015170344
"AMPHETAMINE ASPARTATE\AMPHETAMINE SULFATE\DEXTROAMPHETAMINE SACCHARATE\DEXTROAMPHETAMINE SULFATE",2205,"Drug",0.00711715055759082
"ZOLPIDEM TARTRATE",2196,"Drug",0.00708810096347821
"BUPROPION HYDROCHLORIDE",2195,"Drug",0.00708487323079903
"FISH OIL",2189,"Drug",0.00706550683472395
"CELECOXIB",2164,"Drug",0.00698481351774446
"DARBEPOETIN ALFA",2133,"Drug",0.0068847538046899
"LORATADINE",2128,"Drug",0.006868615141294
"TOCILIZUMAB",2113,"Drug",0.00682019915110631
"VEMURAFENIB",2097,"Drug",0.00676855542823943
"ASCORBIC ACID",2094,"Drug",0.00675887223020189
"BACLOFEN",2050,"Drug",0.006616851992318
"LEUPROLIDE ACETATE",2032,"Drug",0.00655875280409276
"BUDESONIDE\FORMOTEROL FUMARATE DIHYDRATE",2017,"Drug",0.00651033681390507
"LEVOFLOXACIN",2006,"Drug",0.0064748317544341
"OXYCODONE",1987,"Drug",0.00641350483352969
"DABIGATRAN ETEXILATE MESYLATE",1968,"Drug",0.00635217791262528
"ARIPIPRAZOLE",1965,"Drug",0.00634249471458774
"SILDENAFIL CITRATE",1937,"Drug",0.00625211819957071
"LAMOTRIGINE",1920,"Drug",0.00619724674402466
"BISOPROLOL",1890,"Drug",0.00610041476364927
"LEVETIRACETAM",1877,"Drug",0.00605845423881994
"SACUBITRIL\VALSARTAN",1865,"Drug",0.00601972144666979
"PATIROMER",1854,"Drug",0.00598421638719881
"TADALAFIL",1849,"Drug",0.00596807772380291
"PALIPERIDONE",1844,"Drug",0.00595193906040702
"ECULIZUMAB",1840,"Drug",0.0059390281296903
"OMEPRAZOLE MAGNESIUM",1836,"Drug",0.00592611719897358
"NAPROXEN SODIUM",1825,"Drug",0.00589061213950261
"LEFLUNOMIDE",1801,"Drug",0.0058131465552023
"MODAFINIL",1759,"Drug",0.00567758178267676
"PALBOCICLIB",1759,"Drug",0.00567758178267676
"CLOZAPINE",1756,"Drug",0.00566789858463922
"ESTRADIOL",1754,"Drug",0.00566144311928086
"TOPIRAMATE",1754,"Drug",0.00566144311928086
"METOPROLOL SUCCINATE",1746,"Drug",0.00563562125784743
"CYCLOSPORINE",1733,"Drug",0.00559366073301809
"PACLITAXEL",1731,"Drug",0.00558720526765973
"METHYLPREDNISOLONE",1728,"Drug",0.00557752206962219
"ACETAMINOPHEN\OXYCODONE HYDROCHLORIDE",1724,"Drug",0.00556461113890548
"UNSPECIFIED INGREDIENT",1717,"Drug",0.00554201701015122
"VALSARTAN",1717,"Drug",0.00554201701015122
"DICLOFENAC SODIUM",1692,"Drug",0.00546132369317173
"METOPROLOL TARTRATE",1677,"Drug",0.00541290770298404
"MORPHINE SULFATE",1669,"Drug",0.0053870858415506
"DIPHENHYDRAMINE HYDROCHLORIDE",1658,"Drug",0.00535158078207963
"MELOXICAM",1654,"Drug",0.00533866985136291
"MINOXIDIL",1653,"Drug",0.00533544211868373
"CARBIDOPA\LEVODOPA",1648,"Drug",0.00531930345528783
"LEDIPASVIR\SOFOSBUVIR",1640,"Drug",0.0052934815938544
"GLATIRAMER ACETATE",1637,"Drug",0.00528379839581686
"ONDANSETRON",1634,"Drug",0.00527411519777932
"TACROLIMUS",1620,"Drug",0.00522892694027081
"ALBIGLUTIDE",1594,"Drug",0.00514500589061214
"NICOTINE",1590,"Drug",0.00513209495989542
"CERTOLIZUMAB PEGOL",1572,"Drug",0.00507399577167019
"HYDROXYCHLOROQUINE SULFATE",1569,"Drug",0.00506431257363265
"ZOLEDRONIC ACID",1569,"Drug",0.00506431257363265
"NAPROXEN",1564,"Drug",0.00504817391023675
"POMALIDOMIDE",1552,"Drug",0.0050094411180866
"ARMODAFINIL",1551,"Drug",0.00500621338540742
"RANITIDINE HYDROCHLORIDE",1550,"Drug",0.00500298565272824
"MIRTAZAPINE",1546,"Drug",0.00499007472201152
"RUXOLITINIB",1532,"Drug",0.00494488646450301
"METHYLPHENIDATE HYDROCHLORIDE",1529,"Drug",0.00493520326646547
"ERGOCALCIFEROL",1523,"Drug",0.00491583687039039
"TREPROSTINIL",1512,"Drug",0.00488033181091942
"QUETIAPINE FUMARATE",1511,"Drug",0.00487710407824024
"EVEROLIMUS",1501,"Drug",0.00484482675144845
"BEVACIZUMAB",1491,"Drug",0.00481254942465665
"ETONOGESTREL",1485,"Drug",0.00479318302858157
"USTEKINUMAB",1479,"Drug",0.0047738166325065
"INSULIN DETEMIR",1468,"Drug",0.00473831157303552
"TRAMADOL HYDROCHLORIDE",1458,"Drug",0.00470603424624373
"RIBAVIRIN",1456,"Drug",0.00469957878088537
"PIRFENIDONE",1447,"Drug",0.00467052918677275
