"AE","Count","Frequency","PRR","Drug","fill","id"
"Abdominal discomfort",134,0.0028802957676848,0.965073141618414,"ETANERCEPT","#FFFF5D",1
"Abdominal distension",22,0.000472884379769146,0.273878712636131,"ETANERCEPT","white",2
"Abdominal pain",47,0.00101025299314318,0.258346679565871,"ETANERCEPT","white",3
"Abdominal pain upper",80,0.0017195795627969,0.524849808864089,"ETANERCEPT","#FFFFFF",4
"Alopecia",167,0.00358962233733852,0.889726531766172,"ETANERCEPT","#FFFF78",5
"Anxiety",85,0.0018270532854717,0.377235800121064,"ETANERCEPT","white",6
"Arthralgia",935,0.0200975861401887,3.03938281209424,"ETANERCEPT","red",7
"Arthropathy",188,0.00404101197257271,4.96142226934964,"ETANERCEPT","red",8
"Asthenia",161,0.00346065387012875,0.530174974559445,"ETANERCEPT","#FFFFFF",9
"Back pain",216,0.00464286481955162,1.10064092270616,"ETANERCEPT","#FFFF28",10
"Balance disorder",20,0.000429894890699224,0.281790597680795,"ETANERCEPT","white",11
"Blood glucose increased",20,0.000429894890699224,0.138496637202108,"ETANERCEPT","white",12
"Blood pressure increased",45,0.000967263504073254,0.338692802039507,"ETANERCEPT","white",13
"Cataract",54,0.0011607162048879,1.12640843594678,"ETANERCEPT","#FFFF28",14
"Chest pain",66,0.00141865313930744,0.46061884195312,"ETANERCEPT","white",15
"Chills",50,0.00107473722674806,0.588763237445084,"ETANERCEPT","#FFFFE4",16
"Chronic obstructive pulmonary disease",21,0.000451389635234185,0.467772392150119,"ETANERCEPT","white",17
"Confusional state",39,0.000838295036863487,0.272183861154116,"ETANERCEPT","white",18
"Constipation",35,0.000752316058723642,0.19737231736292,"ETANERCEPT","white",19
"Contusion",95,0.00204200073082131,1.14679683236803,"ETANERCEPT","#FFFF28",20
"Cough",279,0.00599703372525417,1.29184357743017,"ETANERCEPT","#FFF100",21
"Death",162,0.00348214861466371,0.212132766542989,"ETANERCEPT","white",22
"Decreased appetite",86,0.00184854803000666,0.398597232845284,"ETANERCEPT","white",23
"Dehydration",24,0.000515873868839069,0.218947584819168,"ETANERCEPT","white",24
"Depression",100,0.00214947445349612,0.569759308343629,"ETANERCEPT","#FFFFFF",25
"Diabetes mellitus",74,0.00159061109558713,1.42890225053081,"ETANERCEPT","#FFBB00",26
"Diarrhoea",253,0.00543817036734518,0.456803687017196,"ETANERCEPT","white",27
"Dizziness",210,0.00451389635234185,0.504790351241136,"ETANERCEPT","#FFFFFF",28
"Drug dose omission",1474,0.0316832534445328,4.60508603125247,"ETANERCEPT","red",29
"Drug hypersensitivity",171,0.00367560131547837,0.605290042055773,"ETANERCEPT","#FFFFE4",30
"Drug ineffective",1775,0.0381531715495561,1.96275869290577,"ETANERCEPT","#FF0000",31
"Dry mouth",37,0.000795305547793564,0.570266178239025,"ETANERCEPT","#FFFFFF",32
"Dysgeusia",18,0.000386905401629302,0.248741597007449,"ETANERCEPT","white",33
"Dyspepsia",41,0.000881284525933409,0.543690094348828,"ETANERCEPT","#FFFFFF",34
"Dysphagia",21,0.000451389635234185,0.271547207606151,"ETANERCEPT","white",35
"Dysphonia",48,0.00103174773767814,0.979414387053685,"ETANERCEPT","#FFFF5D",36
"Dyspnoea",173,0.00371859080454829,0.373483899120668,"ETANERCEPT","white",37
"Fall",212,0.00455688584141177,0.699472735925412,"ETANERCEPT","#FFFFC9",38
"Fatigue",627,0.0134772048234207,0.956365174461971,"ETANERCEPT","#FFFF5D",39
"Feeling abnormal",203,0.00436343314059712,0.960382256449802,"ETANERCEPT","#FFFF5D",40
"Gait disturbance",222,0.00477183328676139,1.3672873081939,"ETANERCEPT","#FFD600",41
"Gastrooesophageal reflux disease",32,0.000687831825118758,0.542344802492892,"ETANERCEPT","#FFFFFF",42
"Headache",554,0.0119080884723685,1.04126933300318,"ETANERCEPT","#FFFF43",43
"Heart rate increased",20,0.000429894890699224,0.268256568974979,"ETANERCEPT","white",44
"Hyperhidrosis",60,0.00128968467209767,0.536128816217902,"ETANERCEPT","#FFFFFF",45
"Hypersensitivity",166,0.00356812759280356,1.24439450475833,"ETANERCEPT","#FFFF0D",46
"Hypertension",103,0.002213958687101,0.610460011295056,"ETANERCEPT","#FFFFE4",47
"Hypoaesthesia",128,0.00275132730047503,1.05182022301652,"ETANERCEPT","#FFFF43",48
"Hypotension",22,0.000472884379769146,0.138692623009469,"ETANERCEPT","white",49
"Infection",215,0.00462137007501666,2.08329496245004,"ETANERCEPT","red",50
"Influenza",138,0.00296627474582465,2.10440391578538,"ETANERCEPT","red",51
"Insomnia",87,0.00187004277454162,0.359110506217166,"ETANERCEPT","white",52
"Joint swelling",399,0.00857640306944952,5.26120322672016,"ETANERCEPT","red",53
"Loss of consciousness",29,0.000623347591513875,0.306043979071708,"ETANERCEPT","white",54
"Malaise",544,0.0116931410270189,1.23423393393799,"ETANERCEPT","#FFFF0D",55
"Memory impairment",121,0.00260086408873031,0.973771345379173,"ETANERCEPT","#FFFF5D",56
"Muscle spasms",92,0.00197751649721643,0.60231014804494,"ETANERCEPT","#FFFFE4",57
"Muscular weakness",58,0.00124669518302775,0.60797308111388,"ETANERCEPT","#FFFFE4",58
"Musculoskeletal pain",141,0.00303075897942953,2.40495559865695,"ETANERCEPT","red",59
"Myalgia",57,0.00122520043849279,0.397066661988932,"ETANERCEPT","white",60
"Nasal congestion",63,0.00135416890570256,1.67203748683447,"ETANERCEPT","#FF6B00",61
"Nasopharyngitis",519,0.0111557724136449,3.590001797056,"ETANERCEPT","red",62
"Nausea",408,0.00876985577026417,0.632323816772132,"ETANERCEPT","#FFFFE4",63
"Neuropathy peripheral",28,0.000601852846978914,0.329086105030235,"ETANERCEPT","white",64
"Off label use",797,0.0171313113943641,1.27501572005351,"ETANERCEPT","#FFF100",65
"Oropharyngeal pain",103,0.002213958687101,1.4360821577187,"ETANERCEPT","#FFBB00",66
"Pain",1099,0.0236227242439224,2.72758646490506,"ETANERCEPT","red",67
"Pain in extremity",522,0.0112202566472497,2.03990968005315,"ETANERCEPT","red",68
"Palpitations",26,0.000558863357908991,0.293415734521185,"ETANERCEPT","white",69
"Paraesthesia",102,0.00219246394256604,0.730670505349344,"ETANERCEPT","#FFFFAE",70
"Peripheral swelling",364,0.00782408701072588,2.34692144373044,"ETANERCEPT","red",71
"Pneumonia",245,0.00526621241106549,0.893948799350852,"ETANERCEPT","#FFFF78",72
"Product use issue",55,0.00118221094942287,0.113062982062213,"ETANERCEPT","white",73
"Pruritus",185,0.00397652773896782,0.791565447498487,"ETANERCEPT","#FFFFAE",74
"Pyrexia",200,0.00429894890699224,0.741319163470871,"ETANERCEPT","#FFFFAE",75
"Rash",281,0.0060400232143241,0.889337227294882,"ETANERCEPT","#FFFF78",76
"Renal disorder",23,0.000494379124304108,0.524817805826963,"ETANERCEPT","#FFFFFF",77
"Rhinorrhoea",93,0.00199901124175139,2.34516617088739,"ETANERCEPT","red",78
"Somnolence",37,0.000795305547793564,0.217773872407102,"ETANERCEPT","white",79
"Swelling",137,0.00294478000128968,1.78633638256631,"ETANERCEPT","#FF3500",80
"Syncope",15,0.000322421168024418,0.191972253960377,"ETANERCEPT","white",81
"Tremor",41,0.000881284525933409,0.305028518141629,"ETANERCEPT","white",82
"Unevaluable event",639,0.0137351417578402,8.0949643489215,"ETANERCEPT","red",83
"Upper respiratory tract infection",109,0.00234292715431077,3.02594603824113,"ETANERCEPT","red",84
"Urinary tract infection",162,0.00348214861466371,1.15737499088689,"ETANERCEPT","#FFFF28",85
"Urticaria",87,0.00187004277454162,0.759611724070189,"ETANERCEPT","#FFFFAE",86
"Vision blurred",42,0.000902779270468371,0.338294282743091,"ETANERCEPT","white",87
"Visual impairment",64,0.00137566365023752,0.741025571722961,"ETANERCEPT","#FFFFAE",88
"Vomiting",187,0.00401951722803775,0.496162435235804,"ETANERCEPT","white",89
"Weight decreased",141,0.00303075897942953,0.590738085921781,"ETANERCEPT","#FFFFE4",90
"Weight increased",85,0.0018270532854717,0.489964920921259,"ETANERCEPT","white",91
"Abdominal discomfort",213,0.00362503829265802,1.23509184785642,"ASPIRIN","#FFFF0D",92
"Abdominal distension",87,0.00148064944348004,0.883706777583886,"ASPIRIN","#FFFF78",93
"Abdominal pain",216,0.0036760951700194,0.975275434887014,"ASPIRIN","#FFFF5D",94
"Abdominal pain upper",203,0.00345484870145342,1.08652649604976,"ASPIRIN","#FFFF43",95
"Alopecia",132,0.00224650260390075,0.543576361094734,"ASPIRIN","#FFFFFF",96
"Anxiety",188,0.00319956431464652,0.667647087812789,"ASPIRIN","#FFFFC9",97
"Arthralgia",377,0.00641614758841349,0.872136759589968,"ASPIRIN","#FFFF93",98
"Arthropathy",65,0.00110623234282991,1.14113716430103,"ASPIRIN","#FFFF28",99
"Asthenia",583,0.00992205316722829,1.61893953895057,"ASPIRIN","#FF8600",100
"Back pain",298,0.00507164981789714,1.21246618370748,"ASPIRIN","#FFFF0D",101
"Balance disorder",116,0.00197419925797338,1.37529258243033,"ASPIRIN","#FFD600",102
"Blood glucose increased",165,0.00280812825487593,0.942542702778169,"ASPIRIN","#FFFF78",103
"Blood pressure increased",227,0.00386330372034446,1.43910075720186,"ASPIRIN","#FFBB00",104
"Cataract",91,0.00154872527996188,1.54557740578819,"ASPIRIN","#FFA100",105
"Chest pain",275,0.00468021375812655,1.62492023395616,"ASPIRIN","#FF6B00",106
"Chills",107,0.00182102862588924,1.02017066594432,"ASPIRIN","#FFFF5D",107
"Chronic obstructive pulmonary disease",77,0.00131045985227543,1.4345724351213,"ASPIRIN","#FFBB00",108
"Confusional state",195,0.00331869702848974,1.12803103449322,"ASPIRIN","#FFFF28",109
"Constipation",331,0.00563327546887232,1.59985768951377,"ASPIRIN","#FF8600",110
"Contusion",201,0.0034208107832125,2.03318400021724,"ASPIRIN","red",111
"Cough",321,0.00546308587766772,1.17246921247314,"ASPIRIN","#FFFF28",112
"Death",306,0.00520780149086082,0.315984874169974,"ASPIRIN","white",113
